sid,sname,artist
1,wooly bully,sam the sham and the pharaohs
2,i cant help myself sugar pie honey bunch,four tops
3,i cant get no satisfaction,the rolling stones
4,you were on my mind,we five
5,youve lost that lovin feelin,the righteous brothers
6,downtown,petula clark
7,help,the beatles
8,cant you hear my heart beat,hermans hermits
9,crying in the chapel,elvis presley
10,my girl,the temptations
11,help me rhonda,the beach boys
12,king of the road,roger miller
13,the birds and the bees,jewel akens
14,hold me thrill me kiss me,mel carter
15,shotgun,junior walker  the all stars
16,i got you babe,sonny  cher
17,this diamond ring,gary lewis  the playboys
18,the in crowd,ramsey lewis trio
19,mrs brown youve got a lovely daughter,hermans hermits
20,stop in the name of love,the supremes
21,unchained melody,the righteous brothers
22,silhouettes,hermans hermits
23,ill never find another you,the seekers
24,cara mia,jay and the americans
25,mr tambourine man,the byrds
26,cast your fate to the wind,sounds orchestral
27,yes im ready,barbara mason
28,whats new pussycat,tom jones
29,eve of destruction,barry mcguire
30,hang on sloopy,the mccoys
31,ticket to ride,the beatles
32,red roses for a blue lady,bert kaempfert
33,papas got a brand new bag,james brown
34,game of love,wayne fontana  the mindbenders
35,the name game,shirley ellis
36,i know a place,petula clark
37,back in my arms again,the supremes
38,baby im yours,barbara lewis
39,the jolly green giant,the kingsmen
40,hush hush sweet charlotte,patti page
41,like a rolling stone,bob dylan
42,im telling you now,freddie and the dreamers
43,ferry cross the mersey,gerry and the pacemakers
44,just once in my life,the righteous brothers
45,the seventh son,johnny rivers
46,im henery the eighth i am,hermans hermits
47,a walk in the black forest,horst jankowski
48,for your love,the yardbirds
49,california girls,the beach boys
50,go now,the moody blues
51,goldfinger,shirley bassey
52,down in the boondocks,billy joe royal
53,baby the rain must fall,glenn yarbrough
54,catch us if you can,the dave clark five
55,eight days a week,the beatles
56,just a little,the beau brummels
57,you turn me on,ian whitcomb
58,ill be doggone,marvin gaye
59,save your heart for me,gary lewis  the playboys
60,tired of waiting for you,the kinks
61,count me in,gary lewis  the playboys
62,all day and all of the night,the kinks
63,what the world needs now is love,jackie deshannon
64,its not unusual,tom jones
65,shes about a mover,sir douglas quintet
66,shake,sam cooke
67,wonderful world,hermans hermits
68,nowhere to run,martha and the vandellas
69,heart full of soul,the yardbirds
70,love potion no 9,the searchers
71,laurie strange things happen,dickey lee
72,baby dont go,sonny  cher
73,it aint me babe,the turtles
74,tell her no,the zombies
75,i go to pieces,peter and gordon
76,red roses for a blue lady,vic dana
77,dont just stand there,patty duke
78,the tracks of my tears,the miracles
79,too many rivers,brenda lee
80,i like it like that,the dave clark five
81,little things,bobby goldsboro
82,true love ways,peter and gordon
83,its the same old song,four tops
84,youve got your troubles,the fortunes
85,hold what youve got,joe tex
86,we gotta get out of this place,the animals
87,laugh laugh,the beau brummels
88,the last time,the rolling stones
89,do you believe in magic,the lovin spoonful
90,all i really want to do,cher
91,take me back,little anthony and the imperials
92,i want candy,the strangeloves
93,ooo baby baby,the miracles
94,laugh at me,sonny bono
95,treat her right,roy head
96,the race is on,jack jones
97,im a fool,dino desi  billy
98,the boy from new york city,the ad libs
99,keep searchin well follow the sun,del shannon
100,how sweet it is to be loved by you,marvin gaye
101,ballad of the green berets,ssgt barry sadler
102,cherish,the association
103,youre my soul and inspiration,the righteous brothers
104,reach out ill be there,the four tops
105,96 tears,  the mysterians
106,last train to clarksville,the monkees
107,monday monday,the mamas  the papas
108,you cant hurry love,the supremes
109,poor side of town,johnny rivers
110,california dreamin,the mamas  the papas
111,summer in the city,lovin spoonful
112,born free,roger williams
113,these boots are made for walkin,nancy sinatra
114,what becomes of the brokenhearted,jimmy ruffin
115,strangers in the night,frank sinatra
116,we can work it out,the beatles
117,good lovin,the young rascals
118,winchester cathedral,new vaudeville band
119,hanky panky,tommy james and the shondells
120,when a man loves a woman,percy sledge
121,paint it black,the rolling stones
122,my love,petula clark
123,lightnin strikes,lou christie
124,wild thing,the troggs
125,kicks,paul revere  the raiders
126,sunshine superman,donovan
127,sunny,bobby hebb
128,paperback writer,the beatles
129,see you in september,the happenings
130,you keep me hangin on,the supremes
131,lil red riding hood,sam the sham and the pharaohs
132,devil with a blue dress ongood golly miss molly,mitch ryder  the detroit wheels
133,good vibrations,the beach boys
134,a groovy kind of love,the mindbenders
135,you dont have to say you love me,dusty springfield
136,cool jerk,the capitols
137,born a woman,sandy posey
138,red rubber ball,the cyrkle
139,baby,carla thomas
140,walk away renee,the left banke
141,daydream,the lovin spoonful
142,time wont let me,the outsiders
143,hooray for hazel,tommy roe
144,sweet pea,tommy roe
145,bus stop,the hollies
146,im your puppet,james  bobby purify
147,im so lonesome i could cry,bj thomas
148,aint too proud to beg,the temptations
149,dirty water,the standells
150,elusive butterfly,bob lind
151,i am a rock,simon  garfunkel
152,crying time,ray charles
153,secret agent man,johnny rivers
154,the sound of silence,simon  garfunkel
155,lady godiva,peter and gordon
156,homeward bound,simon  garfunkel
157,did you ever have to make up your mind,the lovin spoonful
158,barefootin,robert parker
159,uptight everythings alright,stevie wonder
160,bang bang my baby shot me down,cher
161,sloop john b,the beach boys
162,19th nervous breakdown,the rolling stones
163,wipe out,the surfaris
164,psychotic reaction,count five
165,beauty is only skin deep,the temptations
166,no matter what shape your stomachs in,the tbones
167,just like me,paul revere  the raiders
168,love makes the world go round,deon jackson
169,the pied piper,crispian st peters
170,coming on strong,brenda lee
171,somewhere my love,ray conniff singers
172,almost persuaded,david houston
173,if i were a carpenter,bobby darin
174,dont mess with bill,the marvelettes
175,cherry cherry,neil diamond
176,working in the coal mine,lee dorsey
177,message to michael,dionne warwick
178,love is a hurtin thing,lou rawls
179,barbara ann,the beach boys
180,gloria,shadows of knight
181,my world is empty without you,the supremes
182,rainy day women 12  35,bob dylan
183,guantanamera,the sandpipers
184,land of 1000 dances,wilson pickett
185,oh how happy,the shades of blue
186,woman,peter and gordon
187,you baby,the turtles
188,five oclock world,the vogues
189,black is black,los bravos
190,nowhere man,the beatles
191,dandy,hermans hermits
192,baby scratch my back,slim harpo
193,shes just my style,gary lewis  the playboys
194,the more i see you,chris montez
195,i fought the law,bobby fuller four
196,yellow submarine,the beatles
197,hungry,paul revere  the raiders
198,zorba the greek,herb alpert and the tijuana brass
199,shapes of things,the yardbirds
200,6345789 soulsville usa,wilson pickett
201,to sir with love,lulu
202,the letter,the box tops
203,ode to billie joe,bobbie gentry
204,windy,the association
205,im a believer,the monkees
206,light my fire,the doors
207,somethin stupid,frank  nancy sinatra
208,happy together,the turtles
209,groovin,the young rascals
210,cant take my eyes off you,frankie valli
211,little bit o soul,the music explosion
212,i think were alone now,tommy james and the shondells
213,respect,aretha franklin
214,i was made to love her,stevie wonder
215,come back when you grow up,bobby vee
216,kind of a drag,the buckinghams
217,sweet soul music,arthur conley
218,expressway to your heart,the soul survivors
219,soul man,sam  dave
220,never my love,the association
221,apples peaches pumpkin pie,jay  the techniques
222,come on down to my boat,every mothers son
223,incense and peppermints,strawberry alarm clock
224,ruby tuesday,the rolling stones
225,it must be him,vikki carr
226,love is here and now youre gone,the supremes
227,for what its worth,buffalo springfield
228,gimme little sign,brenton wood
229,the happening,the supremes
230,all you need is love,the beatles
231,release me,engelbert humperdinck
232,your precious love,marvin gaye  tammi terrell
233,somebody to love,jefferson airplane
234,get on up,the esquires
235,brown eyed girl,van morrison
236,jimmy mack,martha and the vandellas
237,i got rhythm,the happenings
238,a whiter shade of pale,procol harum
239,dont you care,the buckinghams
240,then you can tell me goodbye,the casinos
241,reflections,the supremes
242,on a carousel,the hollies
243,please love me forever,bobby vinton
244,alfie,dionne warwick
245,silence is golden,the tremeloes
246,my cup runneth over,ed ames
247,up up and away,the 5th dimension
248,san francisco be sure to wear flowers in your hair,scott mckenzie
249,the rain the park  other things,the cowsills
250,theres a kind of hush,hermans hermits
251,mercy mercy mercy,the buckinghams
252,this is my song,petula clark
253,your love keeps lifting me higher and higher,jackie wilson
254,ive been lonely too long,the young rascals
255,penny lane,the beatles
256,youre my everything,the temptations
257,georgy girl,the seekers
258,western union,five americans
259,baby i love you,aretha franklin
260,a little bit me a little bit you,the monkees
261,california nights,lesley gore
262,dedicated to the one i love,the mamas  the papas
263,how can i be sure,the young rascals
264,carrie anne,the hollies
265,we aint got nothin yet,blues magoos
266,friday on my mind,the easybeats
267,soul finger,the barkays
268,gimme some lovin,the spencer davis group
269,let it out let it all hang out,the hombres
270,lets live for today,the grass roots
271,close your eyes,peaches  herb
272,groovin,booker t  the mgs
273,funky broadway,wilson pickett
274,pleasant valley sunday,the monkees
275,i never loved a man the way i love you,aretha franklin
276,tell it like it is,aaron neville
277,cold sweat,james brown
278,shed rather be with me,the turtles
279,986,keith
280,here we go again,ray charles
281,white rabbit,jefferson airplane
282,bernadette,four tops
283,the beat goes on,sonny  cher
284,snoopy vs the red baron,the royal guardsmen
285,societys child,janis ian
286,girl youll be a woman soon,neil diamond
287,aint no mountain high enough,marvin gaye  tammi terrell
288,i take it back,sandy posey
289,here comes my baby,the tremeloes
290,everlasting love,robert knight
291,i dig rock and roll music,peter paul and mary
292,little ole man uptight everythings alright,bill cosby
293,i had too much to dream last night,the electric prunes
294,daydream believer,the monkees
295,baby i need your lovin,johnny rivers
296,mirage,tommy james and the shondells
297,green green grass of home,tom jones
298,i can see for miles,the who
299,dont sleep in the subway,petula clark
300,thank the lord for the night time,neil diamond
301,hey jude,the beatles
302,love is blue,paul mauriat
303,honey,bobby goldsboro
304,sittin on the dock of the bay,otis redding
305,people got to be free,the rascals
306,sunshine of your love,cream
307,this guys in love with you,herb alpert
308,the good the bad and the ugly,hugo montenegro
309,mrs robinson,simon  garfunkel
310,tighten up,archie bell  the drells
311,harper valley pta,jeannie c riley
312,little green apples,o c smith
313,mony mony,tommy james and the shondells
314,hello i love you,the doors
315,young girl,gary puckett  the union gap
316,cry like a baby,the box tops
317,stoned soul picnic,the 5th dimension
318,grazing in the grass,hugh masekela
319,midnight confessions,the grass roots
320,dance to the music,sly  the family stone
321,the horse,cliff nobles
322,i wish it would rain,the temptations
323,lala means i love you,the delfonics
324,turn around look at me,the vogues
325,judy in disguise with glasses,john fred  his playboy band
326,spooky,classics iv
327,love child,the supremes
328,angel of the morning,merrilee rush
329,the ballad of bonnie and clyde,georgie fame
330,those were the days,mary hopkin
331,born to be wild,steppenwolf
332,cowboys to girls,the intruders
333,simon says,1910 fruitgum company
334,lady willpower,gary puckett  the union gap
335,a beautiful morning,the rascals
336,the look of love,sergio mendes
337,hold me tight,johnny nash
338,yummy yummy yummy,ohio express
339,fire,the crazy world of arthur brown
340,love is all around,the troggs
341,playboy,gene  debbe
342,theme from valley of the dolls,dionne warwick
343,classical gas,mason williams
344,slip away,clarence carter
345,im a girl watcher,the okaysions
346,sweet sweet baby since youve been gone,aretha franklin
347,green tambourine,the lemon pipers
348,1 2 3 red light,1910 fruitgum company
349,reach out of the darkness,friend  lover
350,jumpin jack flash,the rolling stones
351,macarthur park,richard harris
352,light my fire,jose feliciano
353,i love you,people
354,take time to know her,percy sledge
355,pictures of matchstick men,status quo
356,summertime blues,blue cheer
357,aint nothing like the real thing,marvin gaye  tammi terrell
358,i got the feelin,james brown
359,ive gotta get a message to you,the bee gees
360,lady madonna,the beatles
361,hurdy gurdy man,donovan
362,magic carpet ride,steppenwolf
363,bottle of wine,the fireballs
364,stay in my corner,the dells
365,soul serenade,willie mitchell
366,delilah,tom jones
367,nobody but me,the human beinz
368,i thank you,sam and dave
369,the fool on the hill,sergio mendes
370,sky pilot,the animals
371,indian lake,the cowsills
372,i wonder what shes doing tonight,tommy boyce  bobby hart
373,over you,gary puckett  the union gap
374,goin out of my headcant take my eyes off you,the lettermen
375,shoobedoobedoodaday,stevie wonder
376,the unicorn,the irish rovers
377,you keep me hangin on,vanilla fudge
378,revolution,the beatles
379,woman woman,gary puckett  the union gap
380,elenore,the turtles
381,white room,cream
382,youre all i need to get by,marvin gaye  tammi terrell
383,baby now that ive found you,the foundations
384,sweet inspiration,sweet inspirations
385,if you can want,the miracles
386,cab driver,the mills brothers
387,time has come today,the chambers brothers
388,do you know the way to san jose,dionne warwick
389,scarborough faircanticle,simon  garfunkel
390,say it loud  im black and im proud,james brown
391,the mighty quinn,manfred mann
392,here comes the judge,shorty long
393,i say a little prayer,aretha franklin
394,think,aretha franklin
395,sealed with a kiss,gary lewis and the playboys
396,piece of my heart,big brother and the holding company
397,suzie q,creedence clearwater revival
398,bend me shape me,the american breed
399,hey western union man,jerry butler
400,never give you up,jerry butler
401,sugar sugar,the archies
402,aquariuslet the sunshine in,the 5th dimension
403,i cant get next to you,the temptations
404,honky tonk women,the rolling stones
405,everyday people,sly  the family stone
406,dizzy,tommy roe
407,hot fun in the summertime,sly  the family stone
408,ill never fall in love again,tom jones
409,build me up buttercup,the foundations
410,crimson and clover,tommy james and the shondells
411,one,three dog night
412,crystal blue persuasion,tommy james and the shondells
413,hair,the cowsills
414,too busy thinking about my baby,marvin gaye
415,love theme from romeo and juliet,henry mancini
416,get together,the youngbloods
417,grazing in the grass,the friends of distinction
418,suspicious minds,elvis presley
419,proud mary,creedence clearwater revival
420,what does it take to win your love,jr walker  the all stars
421,its your thing,the isley brothers
422,sweet caroline,neil diamond
423,jean,oliver
424,bad moon rising,creedence clearwater revival
425,get back,the beatles with billy preston
426,in the year 2525,zager  evans
427,spinning wheel,blood sweat  tears
428,baby i love you,andy kim
429,going in circles,the friends of distinction
430,hurt so bad,the lettermen
431,green river,creedence clearwater revival
432,my cherie amour,stevie wonder
433,easy to be hard,three dog night
434,baby its you,smith
435,in the ghetto,elvis presley
436,a boy named sue,johnny cash
437,baby baby dont cry,the miracles
438,only the strong survive,jerry butler
439,time of the season,the zombies
440,wedding bell blues,the 5th dimension
441,little woman,bobby sherman
442,love can make you happy,mercy
443,good morning starshine,oliver
444,these eyes,the guess who
445,youve made me so very happy,blood sweat  tears
446,put a little love in your heart,jackie deshannon
447,do your thing,the watts 103rd street rhythm band
448,id wait a million years,the grass roots
449,touch me,the doors
450,more today than yesterday,spiral starecase
451,ive gotta be me,sammy davis jr
452,lay lady lay,bob dylan
453,atlantis,donovan
454,traces,classics iv
455,its getting better,mama cass elliot
456,this magic moment,jay and the americans
457,runaway child running wild,the temptations
458,hawaii fiveo,the ventures
459,galveston,glen campbell
460,im gonna make you mine,lou christie
461,gitarzan,ray stevens
462,can i change my mind,tyrone davis
463,time is tight,booker t  the mgs
464,this girls in love with you,dionne warwick
465,color him father,the winstons
466,black pearl,checkmates ltd
467,indian giver,1910 fruitgum company
468,mother popcorn,james brown
469,twentyfive miles,edwin starr
470,things id like to say,new colony six
471,when i die,motherlode
472,thats the way love is,marvin gaye
473,everybodys talkin,harry nilsson
474,the worst that could happen,johnny maestro  the brooklyn bridge
475,the chokin kind,joe simon
476,smile a little smile for me,the flying machine
477,polk salad annie,tony joe white
478,ruby dont take your love to town,kenny rogers  the first edition
